Aasu	ppl	Western	American Samoa	-13.7025	-169.2417	
Abajo Mountains	range	San Juan	Utah	37.8506	-108.4536	
Abajo Peak	summit	San Juan	Utah	37.8394	-108.5381	11360
Abbaye Peninsula	cape	Baraga	Michigan	46.9089	-87.7581	
Abbeville	ppl	Lafayette	Mississippi	34.5031	-88.4969	361
Abbeville (county seat)	ppl	Abbeville	South Carolina	34.1781	-81.6208	597
Abbeville (county seat)	ppl	Henry	Alabama	31.5717	-84.7494	499
Abbeville (county seat)	ppl	Wilcox	Georgia	31.9919	-82.6931	259
Abbeville (parish seat)	ppl	Vermilion	Louisiana	29.9744	-91.8658	18
Abbeville County	civil	Abbeville	South Carolina	34.2333	-81.5333	
Abbey Point	cape	Harford	Maryland	39.3494	-75.7719	
Abbotsford	ppl	Clark	Wisconsin	44.9464	-89.6842	1420
Abbott	ppl	Scott	Arkansas	35.0733	-93.8064	633
Abbott	ppl	Hill	Texas	31.8847	-96.9269	712
Abbott	ppl	Craig	Virginia	37.4292	-79.8603	1400
Abbott	ppl	Upshur	West Virginia	38.9217	-79.6767	1500
Abbott	ppl	Colfax	New Mexico	36.305	-103.74	6159
Abbottsburg	ppl	Bladen	North Carolina	34.5169	-77.2747	103
Abell	ppl	Carson	Texas	35.3933	-100.5417	3487
Abercrombie	ppl	Richland	North Dakota	46.4478	-95.27	936
Aberdeen	ppl	Butler	Kentucky	37.2539	-85.3183	590
Aberdeen	ppl	Harford	Maryland	39.5094	-75.8356	83
Aberdeen	ppl	Grays Harbor	Washington	46.9756	-122.1856	10
Aberdeen	ppl	Moore	North Carolina	35.1314	-78.5703	351
Aberdeen	ppl	Brown	Ohio	38.6556	-82.2389	534
Aberdeen	ppl	Bingham	Idaho	42.9442	-111.1625	4390
Aberdeen (county seat)	ppl	Brown	South Dakota	45.4617	-97.5183	1304
Aberdeen (county seat)	ppl	Monroe	Mississippi	33.825	-87.4564	192
Aberfoil	ppl	Bullock	Alabama	32.0703	-84.3122	588
Abernant	ppl	Tuscaloosa	Alabama	33.2903	-86.8019	495
Abert Rim	cliff	Lake	Oregon	42.5647	-119.8242	
Abert, Lake	lake	Lake	Oregon	42.6264	-119.7678	4255
Abeytas	ppl	Socorro	New Mexico	34.4683	-105.1933	4744
Abilene (county seat)	ppl	Dickinson	Kansas	38.9172	-96.7864	1153
Abilene (county seat)	ppl	Taylor	Texas	32.4486	-98.2672	1718
Abingdon	ppl	Knox	Illinois	40.8044	-89.5983	753
Abingdon	ppl	Harford	Maryland	39.4622	-75.7206	140
